550.0	(169.0, 9)	(117.0, 9)	(117.0, 9)	(164.5, 9)	(29.0, 9)
555.0	(69.0, 9)	(78.0, 9)	(89.5, 9)	(116.0, 9)	(123.0, 9)
560.0	(114.0, 9)	(78.0, 9)	(43.5, 9)	(138.0, 8)	(113.0, 9)
565.0	(65.0, 9)	(24.0, 9)	(119.5, 9)	(108.5, 8)	(118.5, 8)
570.0	(94.0, 9)	(67.0, 9)	(134.5, 8)	(102.0, 9)	(167.0, 9)
575.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
580.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
585.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
590.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
595.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
600.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
605.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
610.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
615.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
620.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
625.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
630.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
635.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
640.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
645.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
650.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
655.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
660.0	(0.0, 9)	(0.0, 9)	(0.0, 9)	(0.0, 9)	(0.0, 9)
665.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
670.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
675.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
680.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
685.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
690.0	(1.0, 10)	(34.5, 10)	(34.5, 10)	(34.5, 10)	(34.5, 10)
695.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
