0.0	(136.0, 9)	(69.0, 9)	(23.0, 9)	(74.0, 9)	(80.0, 9)
10.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
12.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
14.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
16.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
18.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
2.0	(143.5, 9)	(49.5, 9)	(166.5, 9)	(90.5, 9)	(121.0, 9)
20.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
22.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
24.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
26.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
28.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
30.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
32.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
34.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
36.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
38.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
4.0	(86.0, 7)	(92.0, 7)	(95.5, 6)	(87.0, 7)	(56.0, 7)
40.0	(0.5, 10)	(0.5, 10)	(0.5, 10)	(0.5, 10)	(0.5, 10)
42.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
44.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
46.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
48.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
50.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
52.0	(9.0, 10)	(9.0, 10)	(9.0, 10)	(9.0, 10)	(9.0, 10)
54.0	(9.0, 10)	(9.0, 10)	(9.0, 10)	(9.0, 10)	(9.0, 10)
56.0	(0.5, 10)	(0.5, 10)	(0.5, 10)	(0.5, 10)	(0.5, 10)
58.0	(25.0, 0)	(25.0, 0)	(25.0, 0)	(25.0, 0)	(25.0, 0)
6.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
8.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
