16.0	(12.5, 10)	(12.5, 10)	(12.5, 10)	(12.5, 10)	(12.5, 10)
18.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
20.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
22.0	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)	(0.0, 10)
24.0	(14.0, 10)	(14.0, 10)	(14.0, 10)	(14.0, 10)	(14.0, 10)
26.0	(0.0, 9)	(0.0, 9)	(0.0, 9)	(0.0, 9)	(0.0, 9)
28.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
30.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
32.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
34.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
36.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
38.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
40.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
42.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
44.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
46.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
48.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
50.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
52.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
54.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
56.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
58.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
60.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
62.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
64.0	(0.0, 0)	(0.5, 0)	(0.5, 0)	(0.5, 0)	(0.5, 0)
66.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
68.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
70.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
72.0	(125.0, 8)	(99.0, 9)	(89.0, 9)	(129.5, 9)	(113.0, 9)
74.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
76.0	(65.0, 7)	(69.5, 7)	(54.5, 7)	(57.0, 6)	(68.5, 7)
78.0	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)	(0.0, 0)
80.0	(120.0, 8)	(23.0, 8)	(47.5, 8)	(104.0, 8)	(71.0, 8)
